altitude	exposition	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	espece
2804	139	9	268	65	3180	234	238	135	6121	0
2785	155	18	242	118	3090	238	238	122	6211	0
2579	132	6	300	-15	67	230	237	140	6031	0
2886	151	11	371	26	5253	234	240	136	4051	0
2742	134	22	150	69	3215	248	224	92	6091	0
2880	209	17	216	30	4986	206	253	179	4323	0
2962	148	16	323	23	5916	240	236	120	3395	0
2811	135	1	212	30	3670	220	238	154	5643	0
2900	45	19	242	20	5199	221	195	100	4115	0
2570	346	2	0	0	331	215	235	158	5745	0
2678	128	5	95	23	1660	229	236	141	6546	0
2952	107	11	42	7	5845	239	226	116	3509	0
2705	90	8	134	22	2023	232	228	129	6615	0
2740	54	6	218	42	2287	224	227	138	6686	0
2640	80	8	180	-2	1092	231	225	127	5866	0
2843	166	12	242	53	4434	230	244	144	4956	0
3008	45	14	277	10	6371	223	208	116	3036	0
2893	114	16	108	30	5066	245	223	102	4340	0
2850	6	9	0	0	4858	210	223	151	4548	0
2628	30	10	240	19	960	217	218	136	5645	0
2864	118	18	201	74	4567	248	221	93	4849	0
2827	160	28	134	65	3948	235	233	108	5474	0
2529	326	5	30	14	1062	207	234	166	5047	0
2840	153	26	134	42	4613	241	231	102	4833	0
2746	143	16	67	22	2440	241	235	119	6597	0
2537	42	7	210	17	1132	222	224	137	4919	0
2818	332	26	30	17	4526	151	197	181	4978	0
2801	18	7	560	58	3084	215	226	148	6457	0
2791	63	10	418	48	2942	229	221	124	6606	0
2745	306	11	67	24	2416	190	234	184	6428	0
2514	102	6	272	-5	1082	230	233	137	4811	0
2788	13	16	30	8	4126	203	206	137	5396	0
2562	354	12	67	9	1057	200	218	156	5031	0
3073	173	12	108	-3	6836	227	246	149	2735	0
2978	71	10	426	85	5742	231	221	121	3792	0
3067	164	11	85	7	6811	230	243	144	2774	0
2804	72	5	543	61	3115	225	231	141	6471	0
2562	59	3	0	0	1116	221	233	148	5091	0
2567	34	9	190	16	1136	219	221	138	4924	0
2998	45	8	351	16	5842	223	222	134	3721	0
2684	84	12	150	2	1677	237	220	113	5693	0
2676	42	11	150	-5	1634	222	216	128	5655	0
2574	170	5	170	23	1180	224	242	153	4910	0
2511	211	6	162	30	1071	216	245	166	4660	0
3067	32	4	30	-2	6679	219	230	147	2947	0
2909	57	16	134	23	5502	229	203	102	4084	0
2567	333	1	0	0	1266	216	237	158	5079	0
2752	332	6	342	24	2372	207	233	165	6131	0
2751	88	5	400	30	2322	228	231	137	6088	0
2569	102	7	228	18	1266	232	231	132	4844	0
2982	53	14	240	63	5756	227	209	112	3880	0
2586	76	4	190	30	1290	225	232	143	4875	0
2723	99	6	301	34	2109	230	232	136	5793	0
3070	0	11	30	-6	6890	204	220	153	2858	0
3057	124	12	150	53	6508	240	231	118	3211	0
2818	119	19	30	10	5213	248	220	92	4497	0
2847	320	33	85	39	4983	120	190	199	4727	0
2606	112	11	30	4	1584	239	228	119	5106	0
2893	83	6	551	101	4011	229	230	135	5755	0
2716	1	10	234	27	2100	206	222	153	5581	0
2644	125	20	67	25	1719	249	221	90	5168	0
2613	37	5	216	34	1519	220	229	146	4818	0
2929	356	12	0	0	5757	201	219	155	4017	0
2767	307	12	30	8	2796	187	233	186	6192	0
2939	56	18	95	20	5563	229	200	98	4224	0
2537	7	12	0	0	1583	205	216	148	4509	0
3119	119	7	162	10	6660	233	234	133	2556	0
2775	344	13	42	7	2854	194	219	164	6177	0
2490	79	9	240	13	878	232	224	124	4184	0
2831	284	24	60	23	5208	145	232	222	4611	0
2837	112	8	272	16	3649	235	231	128	6221	0
2890	299	23	180	79	5104	150	224	212	4734	0
2824	135	5	218	6	3583	227	238	144	6316	0
2728	135	3	242	32	2250	224	238	150	5515	0
3142	220	11	424	69	6216	207	251	179	1989	0
2847	2	6	175	10	3757	212	229	154	6194	0
2536	34	5	242	16	1242	219	228	146	4201	0
2893	21	6	295	36	4106	216	227	148	5865	0
2687	20	11	150	39	1986	212	217	140	4936	0
3109	211	17	424	55	6089	204	254	181	2017	0
3119	200	20	60	0	6297	208	253	172	2377	0
2795	18	3	218	17	3042	217	233	153	6073	0
2555	58	14	285	19	1231	230	209	109	4159	0
2499	42	13	497	-7	953	222	212	123	3950	0
2916	105	13	268	89	5618	242	223	108	4417	0
2591	42	12	350	22	1398	222	213	125	4224	0
3083	257	4	510	-25	6363	209	242	171	2873	0
2860	276	33	60	33	5292	115	226	240	4759	0
3008	196	15	228	20	5535	215	251	166	1924	0
2873	130	16	67	16	4030	244	230	110	6091	0
2998	102	12	384	158	6026	239	225	114	4121	0
2658	357	20	300	54	1597	184	199	149	4286	0
2622	95	12	484	39	1329	239	222	112	4086	0
2955	288	21	247	128	5224	156	233	215	4968	0
2837	66	9	201	23	3655	229	221	124	6341	0
3077	129	3	618	43	6296	225	237	147	3261	0
2755	320	4	30	-1	2890	209	236	165	5468	0
2880	86	12	30	3	4369	237	221	113	5906	0
2827	332	15	42	9	3599	185	221	174	6067	0
2518	107	5	360	39	553	229	234	139	3522	0
2995	173	15	268	135	6312	228	246	146	4135	0
2721	164	4	67	-2	1747	224	241	152	4191	0
2724	132	11	60	-2	2720	238	234	124	4875	0
2515	90	9	313	39	511	233	227	125	3451	0
3077	256	4	618	210	6230	210	242	170	3734	0
2929	338	8	190	39	4393	202	228	165	6106	0
2735	127	12	67	6	2806	240	232	120	4924	0
2893	319	20	150	43	5825	164	217	192	4667	0
2560	89	10	218	34	731	235	224	120	3505	0
2731	66	5	0	0	2826	225	230	141	4873	0
2916	138	21	127	49	6349	247	227	98	4206	0
2890	63	17	153	35	3670	233	202	96	5757	0
2704	45	10	323	22	1323	223	219	130	3734	0
2985	214	5	342	63	5495	215	245	166	3195	0
3011	323	21	443	161	5838	164	214	188	4910	0
3024	312	18	474	177	5785	169	224	194	4961	0
2763	7	12	85	17	2850	205	216	148	4788	0
2985	167	13	458	66	5571	230	244	144	3519	0
2539	23	17	90	15	488	207	201	125	3115	0
3001	260	8	720	134	5790	200	245	183	3903	0
2962	211	13	255	43	5365	209	252	177	3337	0
2727	45	4	124	21	2285	221	231	147	4245	0
3004	167	17	603	137	5798	232	244	137	4031	0
2886	22	8	285	31	3849	215	222	144	5557	0
3034	187	14	335	148	6084	221	249	158	4921	0
2903	279	13	190	26	4179	184	241	197	5904	0
2942	200	16	180	23	5276	212	252	170	3470	0
2991	54	13	495	65	4849	227	211	115	6214	0
2742	116	9	150	21	2475	236	231	126	4314	0
2606	356	18	67	26	911	188	205	152	3174	0
2616	359	24	42	15	977	176	187	142	3186	0
2913	16	11	457	58	3974	211	217	142	5568	0
2813	48	7	201	35	3018	223	225	137	4729	0
2530	149	1	319	51	234	221	238	154	2726	0
3047	90	3	870	128	5484	224	234	146	5635	0
2893	77	13	85	7	6012	236	215	107	4682	0
3037	230	15	570	151	5985	196	252	191	5238	0
3027	152	10	792	108	5316	233	240	138	5912	0
2756	70	16	120	35	2501	235	208	100	4210	0
2939	325	6	510	62	4078	206	234	167	5584	0
2975	222	6	360	89	5719	213	245	169	4519	0
2890	84	13	30	4	5918	238	218	108	4761	0
3018	109	10	815	132	5833	238	229	121	5486	0
3011	85	5	842	85	5389	228	231	137	5975	0
3004	135	7	811	78	5383	231	237	138	6017	0
2572	49	20	384	53	391	224	192	94	2509	0
2878	349	12	67	0	3489	198	220	161	4924	0
2975	260	8	391	66	6071	200	245	183	5262	0
2995	176	10	690	86	6068	226	246	152	5533	0
2913	144	8	210	20	5478	232	239	139	4733	0
2945	209	12	362	36	5877	211	251	173	5354	0
2942	0	3	0	0	4830	215	233	156	6062	0
2945	288	5	0	0	4801	205	239	173	6034	0
2959	288	8	120	14	4683	199	240	180	5920	0
2796	114	13	60	8	2599	242	226	111	3934	0
2785	315	2	60	-2	2486	214	237	161	3829	0
2784	325	17	153	33	1798	177	220	182	3198	0
2789	320	15	182	50	1771	181	225	183	3174	0
2922	162	19	240	22	5076	235	241	129	4536	0
3008	135	3	931	36	5727	224	238	150	6096	0
2978	73	10	323	49	5160	232	221	121	6368	0
2892	54	11	134	12	3178	226	217	123	4457	0
2521	45	10	42	2	408	223	218	129	2066	0
2829	78	9	60	8	2941	232	223	123	4187	0
2548	355	14	60	7	551	197	215	155	2058	0
2962	89	9	42	3	4891	234	225	122	6046	0
2808	15	13	201	20	2431	208	213	141	3651	0
2749	87	12	516	43	1499	238	220	111	2797	0
